Name,Purpose,Qty,Total (USD),Distributor,Link 
PCB,PCB,1,22.43,JLCPCB,
M3x5x4 Heatset inserts,Heatset inserts,4,0.73,Amazon,https://www.amazon.in/gp/product/B0B9NL8F74
Adafruit MCP23017 I2C GPIO Expander Breakout,GPIO Expander Breakout,1,37.29,Amazon,https://www.amazon.in/gp/product/B09PZLTLZZ
Keycap Stabilizers pack,Stabilizers,1,9.28,Amazon,https://www.amazon.in/gp/product/B0FRN1CF4Q
Keycaps,Keycaps,89,10.58,Amazon,https://www.amazon.in/gp/product/B0GFNPXVJL
Cherry MX Switches,Switches,89,19.04,Amazon,https://www.amazon.in/gp/product/B0G39H2G4H
Rotary Encoder,Rotary encoder,1,1.82,Amazon,https://www.amazon.in/gp/product/B0888RWNM1
1N4148 Diodes,Diodes,100,1.58,Amazon,https://www.amazon.in/gp/product/B079KJ91JZ
"0.91"" OLED Display",Display,1,2.64,Amazon,https://www.amazon.in/gp/product/B084H9HLCS
Raspberry Pi Pico 2W,Microcontroller,1,14.82,Amazon,https://www.amazon.in/gp/product/B0DT99P929
